	{華中}
𮪹	高𠂇又丶
𮪺	木八厶高
𮪻	丶丌二ヰ
𮪼	高又又木
𮫆	镸彡十目
𮫇	髟一兀寸
𮫉	髟罒一勹
𮫋	髟⺍几𰀁
𮫌	髟彐冖巾
𮫍	髟土土寸
𮫎	髟一兀丶
𮫏	髟罒一𧘇
𮫑	髟禾人水
𮫔	鬥丷夫㔾
𮫖	又凵二乚
𮫗	木丿コ又
𮫘	丂丿𦥑彡
𮫘	𦥑丂丨彡
𮫙	卄二冂𢆉
𮫚	弓七丶𢆉
𮫚	弓亠厶𢆉
𮫛	弓艹王弓
𮫢	田儿禾女
𮫧	文凵冂厶
𮫨	鬼人一日
𮫪	鬼广亻心
𮫫	鬼尸水虫
𮫲	丷田灬日
𮫳	魚丿廾丶
𮫴	魚㇆一口
𮫵	魚一彑⺀
𮫶	魚乂𠂇厶
𮫹	鱼人〢土
𮫺	魚匕匕土
𮫽	魚斤一八
𮬄	魚𫝀口ヰ
𮬆	魚丆目夊
𮬇	魚戊一丿
𮬈	⺌兀夊魚
𮬉	魚艹夊口
𮬊	魚爫幺大
𮬋	口口口魚
𮬌	魚口口心
𮬎	魚犭丷酉
𮬐	魚卯彐厶
𮬑	魚彳𠂉夊
𮬒	魚止匕糸
𮬓	魚罒水夊
𮬔	魚門亠巾
𮬖	魚夫夫貝
𮬗	魚丅彐皿
𮬘	魚卝勹廾
𮬘	魚艹勹廾
𮬙	魚雨亻殳
𮬚	魚弓一乂
𮬞	⺊夕又鱼
𮬟	鱼戈口一
𮬢	鱼八厶习
𮬣	鱼彳钅亍
𮬤	鱼⺮戊口
𮬧	丿一㇉鳥
𮬳	鳥一夕匕
𮬸	鳥宀丿七
𮬺	卯丶丶鳥
𮭃	氵口儿鳥
𮭄	鳥戊一口
𮭈	十冖糸鳥
𮭊	氵刀丶鳥
𮭋	⺍一幺鳥
𮭍	宀日女鳥
𮭎	丷夫日鳥
𮭏	阝龶夊鳥
𮭑	士𠃜殳鳥
𮭓	氵日匕鳥
𮭖	火火冖鳥
𮭗	戊一口鳥
𮭘	止戊一鳥
𮭚	习习亠鳥
𮭛	火火冖皮
𮭜	小隹戈鳥
𮭝	⺮勹土鳥
𮭞	犭罒勹鳥
𮭟	弓人人鳥
𮭠	貝貝隹鳥
𮭦	山人一鸟
𮭦	山人丶鸟
𮭨	日宀女鸟
𮭪	大乂乂鸟
𮭬	鹵厶儿夊
𮭬	鹵厶八夊
𮭯	鹵口口丂
𮭰	⺊囗乂几
𮭴	广亠コ𧘇
𮭵	鹿⺈口儿
𮭹	一冂人〢
𮭻	一人人夊
𮭼	來夊宀匕
𮭽	來夊火火
𮭾	來夊爫日
𮭿	來夊勹屮
𮮀	來夊龷用
𮮂	來夊艹辛
𮮄	龶夊丅㇆
𮮆	龶夊勹巳
𮮇	龶夊厶牛
𮮋	麻氵小丿
𮮍	麻足夊糸
𮮎	麻丿厶木
𮮏	丶王龷八
𮮐	禾人小丶
𮮒	禾人水米
𮮓	禾人水厶
𮮕	八乂里灬
𮮛	黑宀尸コ
𮮜	立日里灬
𮮝	戶口夊黑
𮮝	户口夊黑
𮮟	士罒貝灬
𮮠	龷丷巾八
𮮣	口电勹日
𮮤	冂大⺈彐
𮮥	目爿片丿
𮮧	夊人壴又
𮮧	夊卜壴又
𮮨	丬匕壴皮
𮮩	水凵壴又
𮮪	十廾貝又
𮮫	壴皮尚土
𮮴	自田丿十
𮮵	白田丿十
𮮶	自田丌也
𮮷	自田丌糸
𮮸	自田丌䒑
𮮹	自田丌龰
𮮺	亠亻尸一
𮮻	亠弓刀二
𮮼	亠丷丨日
𮮽	止人人乚
𮮾	止米凵匕
𮯃	止米凵口
𮯅	止米凵艮
𮯆	齒⺕亅八
𮯇	止米凵足
𮯈	止米凵人
𮯋	止米凵丂
𮯍	齒广卄又
𮯎	止米凵至
𮯏	犭丶艮齒
𮯒	齒山厂土
𮯓	齒虍斤一
𮯖	齒艹龶月
𮯗	齒虍口大
𮯙	止人凵口
𮯛	⺈冖彐乚
𮯜	丷冂人𠂭
𮯝	𠂉罒彐丶
𮯞	⺈冂一目
𮯟	⺈口乚目
𮯳	亠火火火
𮯽	亻日一大
𮯾	亻乛水凵
𮯿	人一月月
𮰀	亻大土土
𮰁	亻𠂉日夊
𮰂	合乛水三
𮰅	冖八木木
𮰇	冫扌一龰
𮰈	冫艹土夊
𮰋	白幺幺几
𮰐	十止匕金
𮰒	厂亻隹女
𮰠	氵𠄎𰀪土
𮰥	土⺈冂大
𮰦	土𡗗一大
𮰨	土⺊日木
𮰩	土匚戶冊
𮰩	土匚户冊
𮰫	土广大电
𮰭	土艹大电
𮰯	土艹日皿
𮰱	士口𬺰丿
𮰳	一业日夊
𮱁	女尸乀⺀
𮱄	女囗一兀
𮱉	女大丶心
𮱋	女乂𠂇⺼
𮱋	女乂𠂇月
𮱍	女彐厶卩
𮱎	女厂日子
𮱏	女⺈彐心
𮱑	丰⺈巴女
𮱓	女文凵厶
𮱔	女艹一人
𮱕	女艹冖丶
𮱖	女木木夕
𮱙	女龶月亅
𮱚	女虍田皿
𮱛	女雨足口
𮱠	宀隹冂口
𮱣	兀口丄貝
𮱪	山亻七小
𮱫	山斤一八
𮱭	山山人マ
𮱯	山丷日十
𮱰	山木木龰
𮱱	山几一鳥
𮱲	山亠丷二
𮱹	⺆⺆一彡
𮱼	彳几一巾
𮱾	彳王王乛
𮲄	二厶力心
𮲇	忄囗王丶
𮲈	忄丶彐阝
𮲊	忄土口𧘇
𮲍	大戈口土
𮲐	扌九丶厶
𮲑	扌⺈口电
𮲒	戶口夊手
𮲒	户口夊手
𮲠	日宀一𬺰
𮲦	日臼丨又
𮲦	日𦥑丨又
𮲧	日山夊丰
𮲨	日宀斤八
𮲩	日艹冖丶
𮲯	木乚丶人
𮲰	木匕匕十
𮲱	乂乂乂木
𮲴	木八刀又
𮲶	木贝一戈
𮲹	木罒习习
𮲺	木士口页
𮲻	木穴口丨
𮲼	木舟殳石
𮲽	木艹口木
𮳂	毛丿扌戈
𮳆	氵亻匕十
𮳈	氵阝七小
𮳊	氵忄厶口
𮳌	氵王丁口
𮳍	氵门夊口
𮳏	氵宀⺧儿
𮳑	氵止匕白
𮳒	氵⺧口夊
𮳓	戶口夊水
𮳓	户口夊水
𮳔	氵厂亻隹
𮳕	土甫人水
𮳖	氵十冂犬
𮳗	氵车人刂
𮳘	氵艹人刂
𮳙	氵艹门隹
𮳪	⺈口儿火
𮳯	口贝力灬
𮳰	火艹干丷
𮳱	火口丄贝
𮳳	火丷口心
𮳴	火日亻十
𮳶	火艹冖丶
𮳸	火艹冖口
𮳹	火艹人刂
𮳽	犭⺁一口
𮳿	犬犬犬犬
𮴔	王亻匕十
𮴗	王七丿兀
𮴚	王〢又土
𮴛	王亻丁口
𮴟	王山人マ
𮴢	王日丿廾
𮴣	王爫冖又
𮴤	王乛水三
𮴥	王山己几
𮴦	王𠂉日夊
𮴨	王丷口心
𮴫	王八厶习
𮴬	王木木夕
𮴮	王尸示寸
𮴰	王宀心山
𮴱	王艹勹米
𮴵	王弓口虫
𮴶	王艹冖口
𮴹	王艹门丷
𮴼	十冂𢆉瓦
𮵀	田亻匕十
𮵁	田亻匕十
𮵄	白人一乛
𮵄	白人丶乛
𮵈	目冖儿木
𮵈	目冖八木
𮵏	石一冂土
𮵔	石⺈冂大
𮵗	石方𠂉也
𮵜	示亻𰀁㇆
𮵟	示立木斤
𮵨	立一弋止
𮵩	立大乂乂
𮵪	立习习白
𮵳	⺮冖王丶
𮵴	⺮木十又
𮵶	⺮宀王丶
𮵷	⺮氵彐𰀁
𮵸	⺮日日日
𮵹	⺮禾女鬼
𮶁	纟⺆⺆一
𮶃	纟亻丨木
𮶄	纟禾丬匕
𮶅	纟穴人口
𮶆	纟勹𰀪丶
𮶉	习习丷𰀁
𮶊	习习心丿
𮶌	⺧儿习习
𮶍	冫口丨习
𮶓	耳七丿兀
𮶚	舟立戈日
𮶣	艹冫人マ
𮶤	艹氵二厶
𮶧	艹亻几巾
𮶩	艹犭讠犬
𮶪	艹立勹冫
𮶬	艹钅一戈
𮶭	艹丶水生
𮶰	艹日月土
𮶲	艹忄龷日
𮶵	艹氵宀一
𮶶	艹氵䒑八
𮶷	艹氵艹人
𮶸	艹王革二
𮶹	艹氵门丷
𮶿	亠𧘇冂人
𮷃	衤习习八
𮷈	讠大丁口
𮷉	讠日勹𰀪
𮷊	讠丿米田
𮷋	一口䒑力
𮷎	二厶口贝
𮷏	口贝勹冫
𮷐	彐丿口贝
𮷓	身丶力丶
𮷜	车䒑月刂
𮷣	艹一兀辶
𮷤	亻三殳辶
𮷧	亠丷冂辶
𮷲	金人人龰
𮷳	冫⺧儿金
𮷴	金十罒心
𮸀	钅七㇆八
𮸁	钅亻丿七
𮸋	钅人一木
𮸌	钅乂𠂇巾
𮸏	钅厶儿夊
𮸏	钅厶八夊
𮸒	钅日丿廾
𮸓	钅刀八木
𮸕	钅一口田
𮸖	钅〢又皿
𮸚	钅囗大心
𮸛	钅山一䒑
𮸜	钅宀一䒑
𮸝	钅艹冖丶
𮸠	钅宀艹见
𮸡	钅火火火
𮸢	钅山一几
𮸧	门䒑屮月
𮸪	阝犭大口
𮸭	龶月亻十
𮸰	一口田㇆
𮸱	立日𠂉乙
𮸺	止𣥂页丷
𮸻	几乂日𰀪
𮸼	火火火乂
𮹀	禾日宀八
𮹇	马丿廾土
𮹈	马宀𠂇厶
𮹋	马⺆土口
𮹎	马冂二又
𮹎	马日罒又
𮹏	马士冖䒑
𮹐	马日日日
𮹑	一口冂口
𮹗	山人一鸟
𮹗	山人丶鸟
𮹘	火火冖鸟
𮹜	卄一口鸟
𮹝	尤丿尤丿
𠄢	一冂巳一
侻	亻丷口儿
侻	亻八口儿
偺	亻夊人日
偺	亻夊卜日
備	亻龷丿用
像	亻⺈口𧰨
像	亻⺈𫩏𧰨
兔	⺈口儿丶
兤	⺌兀广八
㒹	匕目乚八
冤	冖几刀丶
𩇟	冫龶⺆見
剆	丶彐厶刂
割	宀丰口刂
割	宀龶口刂
剷	文厂生刂
剷	立丿生刂
㔕	𠂉一乙力
勉	⺈口儿力
勤	艹口龶力
吸	口丿乛又
咢	口口二㇉
唐	广彐丨口
善	䒑土艹口
喫	口龶刀大
圖	囗口𠂇口
嘆	口卄一夫
圗	囗厶丄二
噑	口白丨十
噴	口十廾貝
埴	土一乚乚
堍	土⺈口丶
型	一廾刂土
堲	白一乚土
報	土𢆉卩又
墬	阝彐𧰨土
𡓤	土臼人貝
𡓤	土𦥑人貝
売	士冖一几
夢	卝罒冖夕
夢	艹罒冖夕
𡛪	女𠂇乚彡
娛	女口㇉大
娧	女丷口儿
娧	女八口儿
婦	女彐冖巾
㛮	女宀火又
嬈	女土土兀
嬾	女木口貝
嬾	女木口貝
寃	宀⺈口丶
寧	宀心皿丁
寳	宀王⺈貝
𡬘	习习人見
𡷤	山口㇉大
𡷤	山口一大
嵃	山文厂彡
嵃	山立丿彡
𡷦	白匕卩山
嵮	山十目八
嵫	山䒑幺幺
嵼	山文厂生
嵼	山立丿生
巽	巳巳龷八
帨	巾丷口儿
帨	巾八口儿
帽	巾冂二目
幩	巾十廾貝
㡢	巾日罒方
𢆃	巾艹止夊
㡼	广电丿丶
庶	广卄一灬
廊	广丶彐阝
弢	弓屮一乂
𣊸	勹𰀪日巾
彫	⺆土口彡
㣣	彳大入入
𢛔	忄木囗丷
慈	艹幺幺心
慌	忄艹亡𫶧
慌	忄艹亡𫶧
慺	忄口十女
憲	宀丰罒心
憲	宀龶罒心
憤	忄十廾貝
憯	忄匚儿日
懞	忄艹冖豕
懶	忄木口貝
拔	扌𠂇乂丶
拔	扌𠂇又丶
𢬌	扌丿丆丶
挽	扌⺈口儿
掃	扌彐冖巾
揤	扌白匕卩
𢯱	扌宀火又
搢	扌一业日
搢	扌一厶日
揅	石一廾手
摾	扌弓厶虫
摾	扌弓口虫
摷	扌巛日木
㩬	扌虍业戈
㩬	扌虍丱戈
敬	卝勹口夊
敬	艹勹口夊
𣀊	立丿丷夊
旣	彐厶匚儿
晉	丌乚丨日
冕	冂二⺈儿
最	冂二耳又
朗	丶彐厶月
朡	⺼乂凵夊
朡	月乂凵夊
㮝	木八人阝
楂	木木日一
槪	木彐厶儿
檨	木⺷冫欠
檨	木⺷氵欠
𣚣	木田龷八
櫛	木⺮彐卩
㰘	木彐米廾
㰘	木彑米廾
歔	虍丱一欠
㱎	皿小八欠
歲	止戊一𣥂
殟	一夕囗皿
殟	一夕日皿
殺	乂木丶殳
𣪍	尸兀几殳
𣫺	𠂉母七月
𣫺	𠂉母亠月
洖	氵口㇉大
洖	氵口一大
流	氵七丶𫶧
流	氵亠厶𫶧
浸	氵彐冖又
𣴞	氵八刀土
港	氵龷八巳
㴳	氵土尤彡
㴳	氵工尤彡
滋	氵艹幺幺
𣻑	氵乂木殳
淹	氵大𦥑乚
潮	氵十早月
𣽞	氵日夊口
𣾎	氵丂口灬
濆	氵十廾貝
瀹	氵人一冊
瀞	氵龶月亅
㶖	氵亻丨黑
灊	氵匚儿丨
𠔥	䒑彐〢灬
𠔥	八一彐灬
煅	火尸二殳
𤉣	火巛一田
𤎫	火火龷人
爨	𦥑冂一火
爵	爫罒彐寸
犕	牛龷丿用
獺	犭木口貝
㺸	亻几丶丶
㺸	亻几丶丶
瑜	王人一刂
璅	王巛日木
𤲒	田丷一廾
𢆟	由丿干干
䀈	彐厶匚皿
眞	匕目乚八
真	十目乚八
䀹	目大人人
硎	石一廾刂
福	示一口田
穊	禾彐厶儿
穏	禾爫彐心
𥪧	立匕目八
𥪧	立十目八
竮	立尸䒑廾
䈂	⺮丿干干
築	⺮工几木
𥲀	⺮巛𦥑木
糒	米龷丿用
䊠	彐厶匚米
糨	米弓厶虫
糨	米弓口虫
糣	米匚儿日
縂	糹丷口心
繅	糹巛日木
𦉇	缶尸丿干
䍙	冂乂乂母
𦋙	冂乂乂电
罺	罒巛日木
𦌾	罒糹罒𧘇
翺	白大十习
𦓚	⺁一㔾而
𦔣	一未戊𠂇
𦖨	木冂刂耳
䐋	⺼八厶心
䐋	月八厶心
媵	月丷夫女
𣎓	月方𠂉龰
茝	艹匚丨丨
莭	艹彐厶卩
茣	艹口㇉大
茣	艹口一大
𦰶	艹土勹口
䔫	艹乛止冂
蓱	艹氵䒑廾
𦼬	艹氵且皿
䕝	艹禾一土
䕝	艹禾爫土
䕡	艹門口口
𦾱	艹一夫小
𧃒	艹糹口女
䕫	丷頁止夊
虧	虍隹一丂
虩	小丿日虎
蝹	虫囗人皿
蜨	虫⺊彐龰
螆	虫䒑幺幺
螆	虫艹幺幺
䗗	虫⺮一廾
䗹	虫䒑幺心
衠	彳亍十八
裗	衤亠厶𫶧
裞	衤丷口儿
裞	衤八口儿
諭	言人一刂
變	言糹糹夊
𧲨	豸丿干干
贛	立早夊貝
𧼯	走人一刂
𠠄	走⺌⺼刂
𠠄	走⺌月刂
跋	足𠂇乂丶
跋	足𠂇又丶
輸	車人一刂
𨗭	臼丨八辶
𨗭	𦥑人土辶
鄑	一业日阝
鄑	一厶厶阝
鄛	巛日木阝
鈸	金𠂇乂丶
鈸	金𠂇又丶
鋘	金口㇉大
鋘	金口一大
鏹	金弓厶虫
鏹	金弓口虫
鐕	金匚儿日
𨯺	金冂一火
𨯺	金𦥑冂火
閷	乂木丶人
閷	乂木門人
𨵷	門囗人皿
𩅅	雨氵䒑廾
韠	𫝀口ヰ十
馧	禾日囗皿
馧	禾日日皿
駾	馬丷口儿
駾	馬八口儿
𩬰	髟工几丶
鱀	彐厶匚魚
䳭	彐厶卩鳥
𪃎	人一月鳥
𪄅	乂木殳鳥
𪈎	木口刀鳥
䵖	臣又禾水
黹	业丨八八
黹	业丷巾八
鼏	冖目爿片
鼖	十廾壴又
𰀊	冂一丨㇉
𰀐	一⺧儿厶
𰀑	壬厶𬺰丿
𰀒	一冂人人
𰀔	一日几土
𰀕	一冂人人
𰀖	一囗戈一
𰀗	上上上上
𰀘	不宀女人
𰀙	一大戶冊
𰀙	一大户冊
𰀛	一日日土
𰀜	不正心丿
𰀟	不木口正
𰀥	コ丨コ予
𰀦	コ丨ココ
𰀦	尸コ尸コ
𰀧	丩⺆土口
𰀨	田糸口丨
𰀩	丶王丶王
𰀭	禾丬匕力
𰀯	乃氵丶艮
𰁃	斤一八乙
𰁇	九一水丶
𰁈	乛㇆丨乂
𰁉	日一龰乙
𰁋	⺄口口口
𰁎	金匚コ乙
𰁐	⺊日囗乚
𰁑	爫子千乚
𰁓	𰀁マ⺈亅
𰁔	正⺈彐亅
𰁘	一土勹一
𰁙	一一巾人
𰁛	二厶冂又
𰁛	二厶日又
𰁞	亠罒丨二
𰁟	亡氵夊口
𰁲	亻十冂丄
𰁴	亻土一𬺰
𰁺	人⺊冂乂
𰂀	亻⺁一口
𰂄	亻弓人一
𰂆	亻土乚土
𰂈	亻丨氵女
𰂉	亻𠂉⺆丶
𰂊	亻乂𠂇口
𰂍	亻厶小又
𰂏	亻十乛大
𰂐	亻犬八刀
𰂑	人一巾入
𰂒	亻冂䒑山
𰂓	亻千丬匕
𰂔	亻方人⺀
𰂗	亻卅冖巾
𰂙	人一舟刂
𰂚	人一日月
𰂛	亻山土寸
𰂛	亻山士寸
𰂜	亻口丄贝
𰂝	人止干丷
𰂞	亻户一人
𰂟	亻丂口一
𰂟	亻了口一
𰂡	亻又又土
𰂥	亻木丿皿
𰂧	人口火土
𰂫	亻小牛𰀪
𰂬	亻⺈田日
𰂭	亻贝日𰀪
𰂮	亻止二𣥂
𰂯	亻⺮彐𰀁
𰂰	亻䒑业日
𰂲	亻⺍冖見
𰂳	亻冖車辶
𰂴	亻八乂阝
𰂵	人禾火心
𰂶	亻亠里𧘇
𰂷	亻二欠貝
𰂷	亻冫欠貝
𰂸	亻丷罒𧰨
𰂹	亻宀𠀎弓
𰂺	亻至刂口
𰂻	亻月丷贝
𰂼	亻丷口儿
𰂾	亻大丆日
𰂿	來囗口廴
𰃀	亻宀丿田
𰃂	亻壴口灬
𰃃	革力人木
𰃄	來亻至刂
𰃅	亻匕禾頁
𰃆	亻⺧儿贝
𰃇	亻习习八
𰃎	白丨日儿
𰃏	一兀千里
𰃐	⺌兀尤彡
𰃑	⺌兀氵由
𰃒	⺌兀勹心
𰃓	宀且臼儿
𰃔	⺌兀尚儿
𰃕	⺌兀雨电
𰃙	⺁一口入
𰃛	一口䒑入
𰃝	䒑一㇉丶
𰃠	八厶冂人
𰃡	口力刂八
𰃢	八丂勹日
𰃥	亠八覀女
𰃫	宀丰口冂
𰃫	宀龶口冂
𰃬	卄一巾乛
𰃭	冂乚人人
𰃲	冖氵木木
𰃳	冖立早贝
𰃴	冖立早貝
𰃻	冫匕匕十
𰃿	冫十乛大
𰄁	冫厶大彡
𰄂	冫十戈口
𰄄	冫䒑月刂
𰄅	冫十冖糸
𰄇	冫人一匕
𰄇	冫人丶匕
𰄉	冫口丨用
𰄊	冫习习白
𰄋	冫口丨日
𰄌	冫⺼龷日
𰄌	冫月龷日
𰄍	冫土羊辶
𰄎	冫⺈彐⺼
𰄎	冫⺈彐月
𰄐	几人一冊
𰄓	丨一丨⺀
𰄔	屮凵屮凵
𰄕	屮凵𠂇子
𰄖	犭虫丨一
𰄗	丨一丨心
𰄘	屮凵文耳
𰄞	二㇉丶刂
𰄧	刀一夕刂
𰄮	刀一水丶
𰄱	八刀木一
𰄲	⺈彐小丿
𰄳	土日一刀
𰄵	乂木刂刀
𰄶	刀厶大彡
𰄺	亠丷冖刂
𰄼	乂木刂一
𰄽	米乚斤刀
𰄾	夫人人刂
𰄿	士冖一刀
𰅀	刀木木木
𰅁	刀宀丰刂
𰅁	刀宀龶刂
𰅂	尸耂日刂
𰅃	木夕木刀
𰅅	革力一刂
𰅆	木冂刂𢆉
𰅇	亠丷冂刀
𰅈	⺈口儿刂
𰅏	力口⺊尸
𰅓	彐厶匚力
𰅖	一夕刂力
𰅗	力禾勹牛
𰅘	且力宀示
𰅙	王廾千力
𰅚	力口广心
𰅜	勹𰀪囗コ
𰅝	⺈巴勹丶
𰅞	亻犬勹巳
𰅟	勹巳龷八
𰅠	犭虫勹巳
𰅣	古儿丬匕
𰅥	匚十乛大
𰅦	匚丷日十
𰅩	匚臼人貝
𰅩	匚𦥑人貝
𰅯	⺄⺄⺄十
𰅵	匕乂凵十
𰅹	十冂丄又
𰅻	亻匕十甲
𰅼	丷𰀁木灬
𰅽	其乚廾丶
𰅾	亠丷冖廾
𰅿	丷𰀁壴彡
𰆀	十冂𢆉𢆉
𰆁	丿廾艹土
𰆂	十冂𢆉𢆉
𰆄	⺊日丨厂
𰆅	⺊口一口
𰆆	⺊几一巾
𰆇	⺊冂又又
𰆈	⺊几八大
𰆉	⺊冊又耳
𰆓	十人人丶
𰆔	𫝀口ヰ丶
𰆛	厂土丶凵
𰆜	厂上小又
𰆠	厂土丶艮
𰆡	厂土土欠
𰆢	厂土土殳
𰆣	厂土土又
𰆤	厂⺁彐殳
𰆦	厂幺幺刀
𰆧	厂儿冫口
𰆨	厂龷八丷
𰆪	厂卄二犬
𰆫	厂土丶皿
𰆬	厂白小小
𰆮	厶大一兀
𰆵	丿乛又十
𰆼	卩又卩又
𰆽	又又勹厶
𰆾	丿乛又立
𰆿	人人尸又
𰇀	⺊冖一又
𰇁	又丶厶彡
𰇄	𠂉日夊又
𰇅	又又𠂇巾
𰇆	又又又又
𰇊	口二㇉丶
𰇑	⺆⺆一口
𰇒	口亻𠂉乙
𰇖	口二厶力
𰇙	⺆亠口匕
𰇟	丶冂⺌口
𰇠	力口人匕
𰇡	口纟𠂉乙
𰇥	口一勹辶
𰇦	口土七凵
𰇧	口土ユ人
𰇨	口八口匕
𰇪	口口口丨
𰇬	口卯丶丶
𰇭	宀女丶口
𰇮	丿乛又合
𰇯	㇆𰀁阝口
𰇰	口尸二丶
𰇱	口丂⺁口
𰇲	口人一贝
𰇲	口人丶贝
𰇳	口⺈口丶
𰇹	口氵土厶
𰇺	广彐人口
𰇻	口乛水三
𰇼	口厶大彡
𰇽	口⺄丿虫
𰇾	㇆一口口
𰇿	一口䒑匕
𰈃	口扌匕日
𰈅	罒二口匕
𰈇	口龸二厶
𰈉	口丬匕⺼
𰈉	口丬匕月
𰈊	口⺊口灬
𰈌	氵小丿匕
𰈎	口宀上小
𰈏	口乃又皿
𰈐	口巛文凵
𰈕	戶斤口匕
𰈗	矢口口匕
𰈘	口彳人木
𰈙	口舟亠几
𰈚	口宀斤八
𰈛	丶艮⺁口
𰈞	口丩⺈亅
𰈟	一大口口
𰈠	忄𠂇丨匕
𰈡	口丷巾夊
𰈢	口⺮日一
𰈣	口亻丨⺼
𰈣	口亻丨月
𰈥	口⺼丷儿
𰈥	口月丷儿
𰈧	舟儿口口
𰈧	舟几口口
𰈨	口夊丰辶
𰈩	一大口几
𰈪	口戈口心
𰈫	一巛口古
𰈬	口口口屮
𰈯	口十冂犬
𰈰	口日爫又
𰈱	口千臼欠
𰈱	口干臼欠
𰈲	口金丿夫
𰈳	𠂉方古口
𰈵	冖一口匕
𰈶	口纟甫寸
𰈷	耂日阝匕
𰈸	口耳又人
𰈹	口木口辛
𰈻	口口日巳
𰈼	口人一頁
𰈼	口人丶頁
𰈽	文口夕木
𰈿	口⺊夕十
𰉀	口亻覀貝
𰉁	口立丿页
𰉂	口亠丷夊
𰉃	口氵艹寸
𰉄	口⺧儿贝
𰉅	口金冂山
𰉆	口扌宀丁
𰉇	壴口止⺼
𰉇	壴口止月
𰉊	口缶覀早
𰉋	口鹿口大
𰉌	口立⺼下
𰉌	口立月下
𰉍	囗人一乛
𰉍	囗人丶乛
𰉒	大人人口
𰉓	囗口大𢆉
𰉜	土人一乛
𰉜	土人丶乛
𰉪	土亻匕十
𰉬	土几一夕
𰉰	土十冂大
𰉲	土⺈口儿
𰉳	土⺁一巾
𰉸	匚儿匚土
𰉹	木八厶土
𰉻	土爫冖又
𰉽	土⺍冖子
𰉾	土亠亻乀
𰉿	厶儿火土
𰊀	女厶口土
𰊁	土木斤丶
𰊂	土卅冖巾
𰊄	土小丿目
𰊅	土⺈口⺀
𰊆	土一大水
𰊇	氵⺁一土
𰊈	丬夕寸土
𰊈	丬爫寸土
𰊊	土䒑幺幺
𰊋	土尸䒑屮
𰊌	土尸工土
𰊍	土土口𧘇
𰊎	𠂇丨土口
𰊏	土一勹木
𰊐	土田儿夊
𰊐	土田八夊
𰊒	土艹尸工
𰊕	土火冂口
𰊖	氵口木土
𰊗	士冖癶土
𰊘	土子丿糸
𰊚	土卄一夫
𰊛	土匚口贝
𰊝	土十目木
𰊟	土艹一人
𰊡	土门⺈臼
𰊢	氵车斤土
𰊣	氵火火土
𰊤	广卄一土
𰊩	口臣口土
𰊪	口口臣土
𰊫	土⺮彐𰀁
𰊬	土合习习
𰊭	斤〢又辶
𰊮	土人一田
𰊯	彳𠂉日土
𰊲	由方夊土
𰊳	土土土夭
𰊸	土广丆夊
𰊺	土尚匕日
𰊻	土士罒貝
𰊼	土虍田⺼
𰊼	土虍田月
𰊽	口丂⺁土
𰊿	幺土𢆉土
𰋀	土幺幺田
𰋁	丆月冖土
𰋂	土艹丶又
𰋃	土言火又
𰋄	土习习八
𰋅	土⺮氵寸
𰋇	土土土木
𰋉	士士士一
𰋊	丆日士几
𰋌	士𠃜一工
𰋍	士冖几壬
𰋍	士冖几王
𰋏	勹一口夊
𰋑	夕夕龷八
𰋒	夕夕氵下
𰋔	夕夕土土
𰋕	夕夕宀示
𰋖	米女夕夕
𰋗	木木夕小
𰋘	宀心丿夕
𰋟	一大一大
𰋡	一大犭㔾
𰋣	丿夫丿夫
𰋤	大龰⺊又
𰋥	禾勹丿大
𰋦	大人人乀
𰋦	大人人又
𰋩	一大一大
𰋪	一大扌立
𰋬	八人口大
𰋭	一大日生
𰋮	一大十乚
𰋯	一大亠方
𰋰	⺀大貝刂
𰋱	艹合⺀大
𰋲	大龰尸廾
𰋳	大又又且
𰋴	爫幺大大
𰋹	女二㇉丶
𰋾	女匕匕十
𰌁	女山一几
𰌊	女匚儿儿
𰌎	女⺼厶口
𰌎	女月厶口
𰌓	女乃门巾
𰌔	女米⺀十
𰌕	米女匚コ
𰌖	女宀心皿
𰌗	女子⺷大
𰌘	壴十又女
𰌙	女木口贝
𰌚	屮凵方女
𰌛	女牛八彐
𰌤	子人一マ
𰌤	子人丶マ
𰌬	子冂二目
𰌭	子立丿彡
𰌮	山子丿糸
𰌰	宀尸コ子
𰌱	尸子尸子
𰌲	耂子䒑辶
𰌷	宀丶力丶
𰌻	宀𠂇丨土
𰌾	宀一勹止
𰌿	宀一巛工
𰍀	宀亻丶王
𰍁	宀一兀牛
𰍃	宀丿皿卩
𰍅	宀尸屮凵
𰍆	宀一小土
𰍇	宀卄二木
𰍉	宀𠀎八了
𰍊	宀艹𠂇口
𰍋	宀勹𰀪心
𰍌	宀氵龷八
𰍎	𰀁マ宀龰
𰍏	宀厂白小
𰍐	宀𠀎八彡
𰍑	宀一兀木
𰍒	宀丆日木
𰍕	宀衤⺊又
𰍗	宀习习木
𰍘	宀氵十早
𰍙	宀衤口又
𰍚	宀女罒夕
𰍛	古儿宀コ
𰍝	宀工口子
𰍞	宀丿口夊
𰍟	宀舟⺧口
𰍠	宀女氵丄
𰍡	宀心皿八
𰍢	穴人口口
𰍣	尸口辛七
𰍤	立月宀丶
𰍥	厶虫土寸
𰍥	厶虫士寸
𰍦	彐寸卄木
𰍬	立日心丿
𰍱	尸二㇉丶
𰍵	口八尸乀
𰍸	尸扌十又
𰍼	尸匕大寸
𰍽	尸扌一人
𰍿	尸千人凵
𰎀	尸乀宀申
𰎂	尸水尸毛
