×	乂
𪷁	氵山壬夊
𪷂	艹日大水
𪷃	氵〢又見
𪷄	氵月八儿
𪷅	氵宀火火
𪷆	氵宀日八
𪷇	氵䒑月刀
𪷊	氵习习立
𪷋	氵雨𠂉十
𪷌	氵而刂灬
𪷍	氵龶月见
𪷎	氵工貝丿
𪷏	氵厂一寸
𪷑	氵日一里
𪷒	氵艹勹缶
𪷓	氵虍田力
𪷔	氵殳亻夕
𪷖	氵𱼀犬灬
𪷘	氵牛冂手
𪷙	氵亠八金
𪷚	氵穴口丨
𪷛	氵宀一田
𪷞	氵艹〢皿
𪷟	氵〢丷豕
𪷠	氵艹爫又
𪷡	氵虫口𰀪
𪷢	氵口丂虎
𪷤	氵亠囗示
𪷥	氵立土夊
𪷦	氵冖車辶
𪷧	氵彐丿羊
𪷨	氵𦣞巳心
𪷩	氵丆日木
𪷪	氵一丂貝
𪷫	氵甫人水
𪷬	氵臣又糸
𪷭	氵門土土
𪷮	氵⺧儿舌
𪷯	氵米宀示
𪷰	氵立日口
𪷱	氵宀𠀎贝
𪷲	氵广其土
𪷳	氵雨氵巾
𪷴	氵土八灬
𪷵	氵艹阝厶
𪷶	氵爫幺マ
𪷷	氵宀大小
𪷹	立电氵口
𪷻	氵金戈戈
𪷼	氵金大口
𪷽	氵⺧儿贝
𪷿	氵匕示頁
𪸀	氵雨尸又
𪸁	氵广卄皮
𪸂	氵言火又
𪸃	氵龶月米
𪸅	氵𱼀言糸
𪸆	氵金穴口
𪸇	氵鹿灬土
𪸈	氵田士寸
𪸊	氵爫彐兀
𪸋	氵宀𠀎馬
𪸌	氵門尸辛
𪸫	火一日乂
𪸱	火广土丶
𪸲	火又刀口
𪸳	火扌刀口
𪸴	火大丁口
𪸵	火一弋止
𪸷	火土儿土
𪸸	火冂龷八
𪸼	火⺆土口
𪸾	火爫彐亅
𪹀	宀火又𰀁
𪹂	彐火又土
𪹃	刀口阝火
𪹄	火一冂心
𪹆	火ナ工月
𪹇	火山ナ火
𪹉	⺈彐殳灬
𪹊	火入一巜
𪹌	⺈罒勹火
𪹍	火亻ユ大
𪹎	火冖一彡
𪹐	火勹口灬
𪹑	刀口火火
𪹒	火厂卄日
𪹓	火一业日
𪹕	日勹日灬
𪹖	火山一夊
𪹘	火彳人朩
𪹚	火亠丷方
𪹛	火䒑屮月
𪹝	火火𰀁火
𪹡	火木木彡
𪹢	火口目夊
𪹤	火乂木殳
𪹧	火亠丷古
𪹨	火广肀月
𪹩	幺日匕灬
𪹬	口口臣灬
𪹭	貝⺊口灬
𪹮	毛毛毛灬
𪹲	火亠厶夊
𪹴	火ナ工辶
𪹵	火木木龰
𪹶	日耂日火
𪹷	火日𠀎𧘇
𪹸	金木一灬
𪹹	火门日习
𪹻	火彐工木
𪹼	火日龷丶
𪹽	火火冖口
𪹿	宀一𣥂灬
𪺀	火习习十
𪺁	火士罒貝
𪺂	木言木火
𪺃	火勹巳土
𪺄	火爫罒卩
𪺅	火宀丰心
𪺆	火爫罒阝
𪺇	火文凵隹
𪺈	火丆目夊
𪺉	火虍一犬
𪺊	火田口辶
𪺌	火尚黑土
𪺓	爫彐亅丁
𪺔	爫冖⺈用
𪺕	爫幺幺幺
𪺖	爪宀而丁
𪺗	爫彐亅兀
𪺘	⺈彐亅貝
𪺙	爫幺夊丶
𪺚	爫魚魚魚
𪺜	八乂彐卩
𪺡	爿丷田田
𪺤	片口力刂
𪺥	片人丶心
𪺦	片月龷日
𪺨	牙亠人十
𪺮	亠厶冖牛
𪺱	牛𠀎冂土
𪺲	牛卅一土
𪺳	禾勹丿牛
𪺴	牛艹冖目
𪺶	艹𠂤辛牛
𪺺	犭囗𬺰丿
𪺾	犭厂土土
𪻀	犭人人戈
𪻂	犭⺁十目
𪻃	犭彳彐𰀁
𪻇	犭矢丁口
𪻈	犭弓厶虫
𪻊	犭耂日艮
𪻋	犭广壴寸
𪻌	犭田龷水
𪻏	王丿乙又
𪻖	王人一丂
𪻘	王一日一
𪻛	王冂一口
𪻝	王宀一𬺰
𪻟	王乙ナ巾
𪻡	王一口䒑
𪻣	王冂八口
𪻤	王斤一八
𪻧	王土儿土
𪻨	王十乙大
𪻫	王冂䒑亡
𪻬	王斤一山
𪻭	王冖一一
𪻰	王厶儿夊
𪻱	王乙水凵
𪻳	王十冂𢆉
𪻴	王王人彡
𪻶	王厂日子
𪻷	王艹ナ口
𪻸	王艹丁口
𪻹	日生王丶
𪻺	王口丄贝
𪻻	王小丿目
𪻽	王宀夊口
𪻾	王文厂彡
𪻿	王广卄又
𪼀	王亠丷巾
𪼄	王土口𧘇
𪼆	王厂白小
𪼇	王山夊丰
𪼈	人王王王
𪼍	王穴日一
𪼎	王⺷儿厶
𪼏	王又又木
𪼐	王大乂乂
𪼑	王臣又土
𪼒	王艹宀兀
𪼓	王囗戈一
𪼔	王人一月
𪼕	王方𠂉矢
𪼖	王宀臼人
𪼘	王艹冖一
𪼚	王冂二儿
𪼜	王合习习
𪼞	王立戈日
𪼟	王尸水牛
𪼠	王癶弓殳
𪼡	王一田一
𪼢	王罒土𢆉
𪼣	王𰃦丿大
𪼤	王⺈厂言
𪼥	王广䒑八
𪼦	王立日心
𪼧	王艹人口
𪼩	王大丆日
𪼪	王舟殳石
𪼫	王䒑囗阝
𪼬	王雨木木
𪼭	王宀丰心
𪼮	王宀罒𧘇
𪼯	王⺷禾乃
𪼰	王⺽丂手
𪼱	王文一貝
𪼵	大丷弓瓜
𪼽	亻人人瓦
𪼾	八人口瓦
𪼿	瓦貝貝女
𪽀	⺧口卄二
𪽏	田人丶マ
𪽒	田亠厶儿
𪽓	田大口丨
𪽕	勹巳田力
𪽖	乙𰀁阝田
𪽗	尸乀一凵
𪽘	田土八土
𪽚	人人戈田
𪽛	尸龷八田
𪽜	田亻三殳
𪽝	罒土厶由
𪽡	巴丿米田
𪽣	宀立电田
𪽤	田田田且
𪽥	田匕匕䒑
𪽦	田⺷禾丂
𪽧	白一口龰
𪽯	疒弓丨刂
𪽲	疒一冂大
𪽶	疒一口丨
𪽷	疒夫丷心
𪽸	疒走戈乚
𪽺	疒非气乂
𪽿	白⺈口儿
𪾀	白戈口一
𪾁	白氵土厶
𪾂	白王口儿
𪾃	白𫝀口㐄
𪾄	白⺁彐殳
𪾅	白⺷禾丂
𪾏	⺊囗コ皿
𪾐	⺈口儿皿
𪾑	扌勹巳皿
𪾒	氵夊⺀皿
𪾓	土戊乙皿
𪾕	月丷夫皿
𪾗	食⺁又皿
𪾘	金匕匕皿
𪾚	米彐冖皿
𪾛	氵𠃜目皿
𪾜	罒土𢆉皿
𪾝	舟皿米夊
𪾞	弓习习皿
𪾧	目人一マ
𪾨	目口二乚
𪾩	目宀一𬺰
𪾱	目小丿目
𪾳	目𫝀口㐄
𪾶	目千丬二
𪾸	目宀斤八
𪾹	目卌一巾
𪾺	宀心丿目
𪾼	目士冖䒑
𪾿	目䒑业日
𪿁	立电龵目
𪿃	龵目彐寸
𪿄	目⺮立电
𪿅	目广亻鳥
𪿇	予丿口月
𪿌	矢予丿木
𪿍	矢口口刂
𪿏	矢一口冊
𪿐	矢車人刂
𪿡	石冖儿干
𪿣	石乙𰀁阝
𪿤	石大勹巳
𪿪	石龵一丰
𪿫	石马亠乂
𪿬	石大丷电
𪿮	石穴人口
𪿰	石亻十八
𪿴	石文厂生
𪿵	石夫夫车
𪿶	石丰刀糸
𪿷	石宀𠃜目
𪿸	石石石丨
𪿹	石⺊了禺
𪿻	石臣𠂉立
𪿽	石牛八冊
𪿾	石艹丿田
𪿿	石爫厂夊
𫀈	礻冂一口
𫀋	礻大人人
𫀍	礻电丿丶
𫀏	示宀一兀
𫀐	礻一弋止
𫀒	礻日勹𰀪
𫀖	礻⺁丿儿
𫀙	示厶儿夊
𫀛	礻丂口凵
𫀞	礻人丶口
𫀟	示巳人朩
𫀡	礻自幺又
𫀤	示口口夊
𫀥	文凵冂日
𫀱	禾⺁一口
𫀵	禾宀丅乚
𫀶	禾宀一兀
𫀷	禾刀丶心
𫀸	禾尸乙口
𫀺	禾勹丿禾
𫀻	禾广彐人
𫀾	禾白小丿
𫁀	禾彐𰀁廴
𫁁	禾口丄田
𫁂	禾罒土厶
𫁃	禾爫丿皿
𫁄	禾氵⺌月
𫁅	⺊貝禾厶
𫁇	禾白小彡
𫁈	禾立日心
𫁉	禾爫冂乂
𫁌	穴一冂土
𫁎	穴工子乚
𫁐	穴女小丿
𫁑	穴口丨心
𫁔	穴工匚王
𫁕	穴⺈口力
𫁗	穴扌尸凵
𫁘	穴口𬼖彐
𫁙	穴乂乂女
𫁚	穴⺈⺆十
𫁛	穴牙人冊
𫁜	穴犬石⺈
𫁝	穴丿米口
𫁟	立二乚丶
𫁠	立⺆⺆一
𫁢	立宀一𬺰
𫁥	立广⺊口
𫁧	立彳土寸
𫁨	立𫝀口㐄
𫁩	立日习习
𫁫	立阝夊㐄
𫁬	立𠂉日𰀪
𫁭	立火火力
𫁮	一八巾立
𫁯	立早夊凵
𫁼	⺮巾几丶
𫁽	⺮尸乀八
𫂀	⺮十冖子
𫂆	⺮囗王丶
𫂇	⺮白勹丶
𫂉	⺮彐厶阝
𫂋	⺮卄二木
𫂌	⺮囗人毛
𫂎	⺮勹日大
𫂏	⺮米九丶
𫂑	⺮大丷电
𫂒	⺮王牛八
𫂓	⺮耂匕日
𫂕	⺮亻立口
𫂖	⺮爫冖又
𫂙	⺮木口夊
𫂚	⺮木𠂉母
𫂛	⺮囗口示
𫂜	⺮⺊冊又
𫂝	⺮⺈冖夊
𫂡	⺮木冂冂
𫂤	⺮⺈口𧰨
𫂥	⺮一罒貝
𫂦	⺮礻宀示
𫂧	⺮木口口
𫂨	⺮土寸田
𫂩	⺮貝一止
𫂪	⺮夭雨彐
𫂫	⺮阝丷寸
𫂬	⺮彳鱼亍
𫂭	⺮月丷言
𫂮	⺮其言己
𫂰	⺮十戈一
𫃁	米一水丶
𫃃	米斤一阝
𫃄	米八厶心
𫃅	米亠囗口
𫃆	日一龰米
𫃈	米臼丨丂
𫃉	西米七凵
𫃊	米艹耂匕
𫃍	米广肀月
𫃑	米火火力
𫃒	米艹其乚
𫃔	米⺊口㔾
𫃕	米䒑幺心
𫃖	米⺮彐卩
𫃗	米𰀁乙灬
𫃘	米田龷𰀁
𫃙	力米习隹
𫃪	糹大凵⺀
𫃬	糹上小又
𫃭	糹爫一大
𫃮	糹彳丶王
𫃰	糹厶大三
𫃱	糹彐一水
𫃲	糸彐冖巾
𫃳	糹虫勹丶
𫃴	糹⺈人大
𫃶	糹氵夊口
𫃸	糹扌爫女
𫃹	糹儿冫辶
𫃺	糹片爿一
𫃻	糸穴人口
𫃼	糹米⺀十
𫃿	糹爫一丶
𫄀	糹宀土𢆉
𫄁	糹艹日月
𫄂	糹⺮彐𰀁
𫄄	糹尸米女
𫄅	糹戊一心
𫄆	糹石亠十
𫄇	糹十戈車
𫄈	糹艹氵口
𫄉	糹足夊口
𫄊	糸亠囗示
𫄋	糹言土寸
𫄌	糹足爫女
𫄍	糹几一鳥
𫄎	糹尸口女
𫄏	糹⺮戊口
𫄐	糹八刀非
𫄑	糹食爫女
𫄒	糹木木夊
𫄔	糹立丿八
𫄕	糹田止糸
𫄖	糹厂黑皿
𫄘	糹⺮月水
𫄛	纟人丶乙
𫄠	纟一日一
𫄡	纟冂一口
𫄦	纟土厶力
𫄧	纟丿止廴
𫄨	纟乂ナ巾
𫄭	纟𠂉日夊
𫄮	纟乃又皿
𫄯	纟田八夊
𫄰	纟亠丷方
𫄱	纟十䒑口
𫄲	纟艹日大
𫄳	纟彳止龰
𫄴	纟亠幺十
𫄶	纟弓口虫
𫄷	纟立日心
𫄹	纟山隹口
𫄼	缶卄二木
𫄽	肀一灬缶
𫄿	艹勹口缶
𫅆	冂乂乂女
𫅈	罒弓弓八
𫅊	罒口十口
𫅋	罒人一日
𫅌	罒土𢆉寸
𫅖	⺷大扌口
𫅗	羊十廾贝
𫅘	士口艹口
𫅙	羊冂䒑刂
𫅚	⺷大禾彐
𫅛	羊山月月
𫅜	人丶マ口
𫅝	⺷大月一
𫅞	一彐厶口
𫅟	⺷大宀又
𫅠	⺷大艹木
𫅡	⺶丑羊口
𫅣	一兀习习
𫅤	习习人マ
𫅥	山己习习
𫅦	䒑屮习习
𫅩	习习一乂
𫅫	龵一丰习
𫅬	立日习习
𫅭	宀斤一习
𫅮	习习立电
𫅯	习习木辶
𫅰	非心习习
𫅱	自羊习习
𫅲	习习⺮电
𫅳	耂匕口匕
𫅴	耂匕女又
𫅵	耂匕方夊
𫅶	耂匕耂日
𫅷	艹人朩匕
𫅸	耂匕女八
𫅼	丿未车辶
𫅽	丰八𡗗日
𫅾	丰八卯田
𫅿	丰八弓貝
𫆄	耳大丅乚
𫆊	耳卄一人
𫆋	耳一口丨
𫆌	耳䒑八皿
𫆍	耳丶彐月
𫆎	彳止龰耳
𫆏	氵车斤耳
𫆐	耳口口十
𫆑	耳人一日
𫆒	耳穴勹心
𫆓	耳十口𧘇
𫆔	匕示彐𰀁
𫆕	大示彐𰀁
𫆜	冂人人匕
𫆝	月门𬺰丿
𫆠	月丷𰀁刂
𫆡	亠厶月丨
𫆢	土八夊月
𫆥	户月亠儿
𫆦	月小丿目
𫆧	月彳彐𰀁
𫆨	月䒑冂刂
𫆩	月口口廴
𫆪	月田儿夊
𫆫	冂人人又
𫆭	冂人人辶
𫆮	月子一糸
𫆯	月丅人夊
𫆰	土方夊人
𫆱	月木⺁巴
𫆲	月艹十子
𫆳	月日罒又
𫆴	宀心丿月
𫆶	⺊早户月
𫆷	月文示弓
𫆸	冂人人寸
𫆹	月艹𡗗水
𫆺	冂人人巾
𫆻	月匕日兀
𫆼	月艹亠方
𫆽	亠厶月匕
𫆾	月艹夫言
𫆿	田月米辶
𫇀	月厂禾止
𫇁	月千里夕
𫇂	尸至月乂
𫇃	月一丶鹿
𫇄	亠厶月𧘇
𫇇	臣丿扌戈
𫇈	臣亠人十
𫇉	臣人匚虎
𫇌	自犬大电
𫇍	自犬宀田
𫇐	至了口一
𫇑	至艹𡗗禾
𫇓	⺽木木酉
𫇕	人舌丶王
𫇗	舌䒑彐八
𫇘	舌木口贝
𫇙	人舌艹皿
𫇜	舟艹ナ口
𫇝	舟尸二又
𫇞	舟日罒又
𫇠	舟士乙寸
𫇡	舟艹门丷
𫇢	舟⺷禾丂
𫇣	舟⺷禾戈
𫇤	土厶皿巴
𫇭	艹丶力丶
𫇯	艹口一乚
𫇶	艹一冂土
𫇹	艹亻匕人
𫇼	艹氵几丶
𫈄	艹亻乚人
𫈅	艹八人口
𫈆	艹亻力口
𫈈	艹亻ナ口
𫈋	艹广匕匕
𫈍	艹丩夊⺀
𫈎	艹ス工力
𫈓	艹一弋止
𫈔	艹日勹冫
𫈕	艹口氵㔾
𫈘	艹亻亡女
𫈙	艹彳王丶
𫈞	艹氵亠幺
𫈟	艹阝七小
𫈠	艹力口土
𫈡	艹一冂辶
𫈢	艹厂日子
𫈥	艹木丁口
𫈦	艹冂人戊
𫈧	艹日冂厶
𫈪	艹亻匕末
𫈬	艹冖人电
𫈯	艹⺷儿丶
𫈱	艹文厂彡
𫈲	艹氵巳土
𫈳	艹小小小
𫈴	艹癶一廾
𫈵	艹纟⺈巴
𫈶	艹亠由𧘇
𫈷	艹木冂口
𫈸	艹大丷电
𫈻	艹大一瓜
𫈽	艹囗土八
𫈾	艹亻止龰
𫈿	艹𠂤コ又
𫉁	艹爫冖又
𫉂	艹冖日木
𫉃	艹氵禾刂
𫉄	艹讠耂日
𫉅	艹女口心
𫉆	艹力力月
𫉈	艹木口斤
𫉉	艹卄二八
𫉋	艹王禾刂
𫉌	艹大一巳
𫉎	艹木一口
𫉏	艹戈口巴
𫉐	卝罒冖方
𫉓	䒑巾木日
𫉔	艹亻𫝀㐄
𫉕	艹人朩口
𫉖	艹月十子
𫉘	艹广肀月
𫉙	艹氵勹米
𫉛	艹阝禾女
𫉝	艹王王丿
𫉞	艹口口𬺰
𫉟	艹金勹冫
𫉠	艹八夫耳
𫉡	艹月亠十
𫉢	艹白牛口
𫉣	艹氵古月
𫉤	艹阝日𰀪
𫉥	艹土八力
𫉦	艹王勹夊
𫉧	艹日𠂉灬
𫉪	艹彳糸夊
𫉫	艹八夫目
𫉬	艹犭隹又
𫉮	艹立日欠
𫉯	艹氵隹又
𫉰	艹氵廾〢
𫉱	艹米一艮
𫉲	艹宀𠀎土
𫉳	艹厶口巴
𫉴	艹尸乙虫
𫉵	艹土厶𧘇
𫉶	艹𦣞又皿
𫉷	艹土𢆉土
𫉸	艹丅口欠
𫉺	艹臣又糸
𫉻	艹日木耳
𫉼	艹罒戊丨
𫉽	艹𠂤殳辶
𫉾	艹广立阝
𫉿	艹亠罒示
𫊁	艹氵尸雨
𫊃	艹糹⺆口
𫊄	艹糹巛田
𫊅	艹禺丰八
𫊆	艹矢隹又
𫊇	艹丰八咼
𫊉	艹氵止止
𫊊	艹米古月
𫊋	艹氵隹木
𫊌	艹一田灬
𫊍	艹世木乙
𫊎	艹𠂤辛土
𫊏	艹彳罒𢆉
𫊐	艹古土兀
𫊑	艹石丿田
𫊒	艹魚土土
𫊓	艹氵工鳥
𫊔	艹耂日灬
𫊕	艹丿未丶
𫊖	艹月亠二
𫊘	艹早艹巾
𫊚	艹白冫口
𫊛	艹足丷阝
𫊜	艹田田且
𫊩	虫丿乙又
𫊯	虫丿丷𬺰
𫊳	虫一口乂
𫊴	虫扌丿七
𫊹	虫人二厶
𫊽	虫口勹刂
𫊿	虫八厶廾
𫋂	虫十彐女
𫋄	虫斤一阝
𫋊	一口冂虫
𫋌	虫亻弋贝
𫋍	虫宀夊口
𫋑	虫王リ王
𫋒	ナ又虫虫
𫋔	虫亠幺十
𫋖	虫一口刂
𫋙	虫弓厶虫
𫋛	虫艹龶月
𫋜	虫爫罒寸
𫋞	虫合习习
𫋟	虫臣又皿
𫋠	虫曲一䒑
𫋢	虫尸羊辶
𫋤	虫士乙寸
𫋥	虫火火月
𫋦	虫走耳又
𫋧	虫广龷八
𫋨	虫言木丷
𫋩	虫見卄灬
𫋪	丿皿匕匕
𫋬	丿皿立早
𫋭	彳冂大亍
𫋮	彳士口亍
𫋯	彳白王亍
𫋰	彳矢口亍
𫋱	彳貝貝亍
𫋴	亠八亠𧘇
𫋶	衤刀冖亅
𫋹	衤七丿兀
𫋻	衤人二厶
𫋾	衤大丷丂
𫌁	衤十目乚
𫌃	衤丿幺龰
𫌄	衤厶大三
𫌅	衤日一𰀪
𫌆	衤臼丨又
𫌇	衤耳又又
𫌋	衤〢又䒑
𫌌	衤山宀示
𫌍	禾丆日𧘇
𫌎	月八口𧘇
𫌏	爿𱼀寸𧘇
𫌐	衤走戈乚
𫌑	衤䒑业日
𫌒	衤糹亠儿
𫌓	衤曲一䒑
𫌔	衤彐丿羊
𫌕	衤厂木止
𫌖	衤夫夫車
𫌗	衤言身寸
𫌘	衤业𢆉又
𫌙	衤⺮門日
𫌛	西山夊丰
𫌟	一廾彡見
𫌠	亻木一見
𫌢	見十冂𢆉
𫌤	士𠃜殳見
𫌥	女見女見
𫌦	⺧儿⺧見
𫌧	見文厂頁
𫌫	木囗丷见
𫌮	⺈用大丂
𫌰	⺈用日𰀪
𫌱	⺈⺆土㐄
𫌹	言又亠一
𫌿	言十彐女
𫍁	言匚口丨
𫍂	言小丿目
𫍃	言マ用力
𫍅	言予丿木
𫍆	言𠂉一心
𫍇	言穴人口
𫍈	言冖儿臼
𫍉	言木木丶
𫍊	言臣又土
𫍌	言マ用辶
𫍍	言卄二丶
𫍎	言口耳戈
𫍐	止𣥂页言
𫍑	言广亻隹
𫍓	言立丿八
𫍔	言虍一戈
𫍕	言己⺮其
𫍖	言习习八
𫍗	言爫マ辛
𫍘	言尸水虫
𫍝	讠七乙八
𫍞	讠丿丷𬺰
𫍢	讠七丿兀
𫍣	讠冂一口
𫍩	讠口冂人
𫍬	讠冂䒑亡
𫍮	讠尸屮凵
𫍯	讠戊一口
𫍲	讠臼丨又
𫍵	讠龶勹夊
𫍸	讠户习习
𫍽	讠罒一𧘇
𫍾	讠宀心丁
𫍿	讠䒑月习
𫎀	八人口人
𫎂	禾女八口
𫎃	广亻寸䒑
𫎄	一口䒑丁
𫎇	〢丷冖豕
𫎍	豸ナ工巳
𫎙	貝丷口儿
𫎚	罒貝⺈丨
𫎝	貝匕匕白
𫎞	貝𫝀口㐄
𫎟	貝耂匕日
𫎣	七丶罒丶
𫎤	八刀貝貝
𫎥	日巛頁貝
𫎩	贝冖八木
𫎬	立早工贝
𫎳	走匕匕十
𫎴	走冂一口
𫎷	走乙水三
𫎹	走日一寸
𫎺	走厶大彡
𫎼	走己宀女
𫎽	走土厶皿
𫎾	走西大㔾
𫎿	走大乂乂
𫏎	足巛一夕
𫏏	足龶冂丄
𫏒	足八乂巴
𫏓	足千丬匕
𫏕	车ス工足
𫏖	足爫干又
𫏗	足亻三殳
𫏙	足扌爫女
𫏚	足亻立口
𫏛	足广卄巾
𫏜	足囗戈一
𫏞	足米乚斤
𫏟	足⺷大力
𫏡	足⺈口𧰨
𫏢	足丿皿𧰨
𫏣	足一田一
𫏤	足广䒑月
𫏥	足言大丂
𫏦	足巛几𰀁
𫏩	足口丄辶
𫏫	身宀丿七
𫏭	身山一夊
𫏮	身䒑屮辶
𫏯	身白匕殳
𫏰	身矢一䒑
𫏱	身人一日
𫏶	車大人人
𫏸	車⺈厂㔾
𫏹	車丿𰀁𰀁
𫏺	車爫干又
𫏼	夫夫冖車
𫏾	車田夊口
𫏿	車𠂉十車
𫐀	車氵匚木
𫐁	一日丨車
𫐂	宀口十車
𫐃	車田爫田
𫐈	车ナ又丶
𫐉	车人丶マ
𫐋	扌九丶车
𫐎	车大丁口
𫐏	车⺆土口
𫐑	车宀尸コ
𫐓	车予丿木
𫐔	车土厶皿
𫐕	车丰丰彐
𫐖	车习习彡
𫐗	车业䒑夫
𫐘	车戊一心
𫐙	车田田田
𫐡	人丶乙辶
𫐣	一冂人辶
𫐩	人人土辶
𫐪	力⺈小辶
𫐫	土儿夕辶
𫐭	爫彐亅辶
𫐮	人一冊辶
𫐲	宀一龰辶
𫐳	彡龰土羊
𫐶	⺈口儿辶
𫐺	⺁彐乙辶
𫐻	勹屮勹辶
𫐼	亠丷冖辶
𫐽	米小丿辶
𫐿	木口毛辶
𫑀	〢龶八辶
𫑁	犭大丁辶
𫑂	勹缶女辶
𫑅	木口辶マ
𫑆	十又亦辶
𫑉	方𠂉冂辶
𫑊	力口貝辶
𫑋	木口辶牛
𫑌	咼辶丶水
𫑍	口丄尸辶
𫑎	⺮丿止辶
𫑏	乙𰀁阝辶
𫑐	木口辶犬
𫑑	咼辶𠂉㐄
𫑒	木口辶口
𫑓	𠂤田夊辶
𫑔	火火冖辶
𫑕	立里尸辶
𫑖	丆日丆辶
𫑘	二乚丶阝
𫑚	丅一乚阝
𫑞	爫一乚阝
𫑢	丰阝口丨
𫑣	口一由阝
𫑦	日宀女阝
𫑧	匚口口阝
𫑩	⺷丶水阝
𫑫	冫欠貝阝
𫑬	西田廾阝
𫑮	厂里灬阝
𫑯	一彐厶十
𫑱	一彐厶月
𫑲	爫罒彐阝
𫑴	酉ナ丨子
𫑶	酉一口䒑
𫑸	酉己人乙
𫑺	酉𠂤一巾
𫑻	酉𠂉口口
𫑼	酉八酉寸
𫑽	酉乙止口
𫑾	酉亠囗示
𫑿	酉艹隹灬
𫒀	𰃦丿米丂
𫒃	千里尸匕
𫒄	米又厂里
𫒅	千里耳又
𫒑	金人一丂
𫒜	金亠土乚
𫒝	金一日乂
𫒟	金人一朩
𫒡	金𠂉乙龰
𫒢	金冖儿干
𫒣	丶一业金
𫒫	金白勹丶
𫒬	金亻夕夕
𫒭	金宀王丶
𫒮	金宀弓厶
𫒯	金厶𫩏儿
𫒰	金耂匕㐄
𫒲	金龵一丰
𫒴	金宀夊口
𫒵	金丷口厶
𫒶	金了口凵
𫒸	金士口几
𫒹	金田勹巳
𫒻	金亠厶牛
𫒼	金䒑屮辶
𫒽	金火火乂
𫒾	金糹冂人
𫒿	金卌一巾
𫓁	金山宀示
𫓃	金宀目八
𫓆	金十甫寸
𫓇	金木冂冂
𫓈	金王丶山
𫓉	金日一里
𫓊	金止一又
𫓋	金止止止
𫓍	金彳𠂉夊
𫓎	金弓丆弓
𫓏	金戊一心
𫓐	金曲一䒑
𫓑	金艹勹心
𫓓	⺽夊冖金
𫓔	金⺷丿戈
𫓕	金亠〢〢
𫓗	金虍土𢆉
𫓘	金广亻人
𫓚	金习习十
𫓛	金大丆日
𫓝	金王王金
𫓞	金木木口
𫓟	金口口馬
𫓠	金士𠃜耳
𫓡	金罒土夊
𫓢	金习习八
𫓣	金日日灬
𫓤	金⺮戈一
𫓷	钅𠂉乙龰
𫓸	钅一火夊
𫓻	钅人丶心
𫓾	钅亠厶月
𫔀	钅木囗丷
𫔁	钅十廾贝
𫔂	钅日一龰
𫔄	钅予丿木
𫔅	钅十冖糸
𫔆	钅罒土厶
𫔈	钅䒑屮月
𫔉	钅贝贝女
𫔊	钅宀亻日
𫔋	钅士示欠
𫔌	钅龷月夊
𫔍	钅丿米田
𫔎	钅予丿口
𫔏	钅尸子子
𫔐	钅壴十又
𫔑	钅亠囗一
𫔒	钅厶月灬
𫔔	钅山隹口
𫔕	钅米犬頁
𫔗	镸一大丶
𫔡	門一口䒑
𫔢	門口口丨
𫔦	𠂉十門廾
𫔧	門人人人
𫔩	門艹日大
𫔪	門立日心
𫔫	門豕豕大
𫔷	门一廾心
𫔸	〢龶八门
𫔹	门亠巾皿
𫕁	阝一𫝀口
𫕆	阝一口冊
𫕇	阝大弓土
𫕈	阝日勹乚
𫕉	阝爫干又
𫕊	阝爫幺又
𫕋	阝爫冂土
𫕍	阝宀一一
𫕎	阝八厶习
𫕏	阝禾尸二
𫕐	阝大乂乂
𫕑	阝勹一田
𫕒	阝亠丷古
𫕓	阝又又口
𫕔	阝大丷小
𫕕	阝卄二口
𫕖	阝丁口乙
𫕗	阝方𠂉糸
𫕘	阝弓一一
𫕣	九丶雨彐
𫕧	雨艹八刀
𫕨	雨厶大彡
𫕪	雨氵一刂
𫕭	雨氵⺊早
𫕰	雨月𡗗𰀁
𫕲	雨人一辶
𫕴	雨立日乚
𫕵	雨氵罒𢆉
𫕶	雨尸口土
𫕷	雨氵艹隹
𫕸	龶月⺈丨
𫕺	龶月丷𰀁
𫕻	龶冂丄丄
𫕼	龶月立儿
𫖂	乙𰀁阝面
𫖃	面口丄贝
𫖄	亻尸二面
𫖆	卄一口八
𫖇	革亻匕十
𫖉	革龷勹用
𫖋	革尸龷殳
𫖌	一𫝀口㐄
𫖍	𫝀口㐄巾
𫖏	𫝀口㐄又
𫖐	十ナ十㐄
𫖑	𰀁乙人乙
𫖒	𰀁乙匕十
𫖔	𰀁乙龷用
𫖕	𰀁乙𠀎土
𫖖	𰀁乙癶䒑
𫖗	立日⺀十
𫖘	立日厶廾
𫖙	立日⺊貝
𫖚	立日宀八
𫖛	立日艹十
𫖜	立日禾彡
𫖡	士冖几頁
𫖥	日一口頁
𫖩	巛囗乂頁
𫖳	彐丿口页
𫖵	斤一山页
𫖸	厂白小页
𫖹	戊上小页
𫖺	木乂乂页
𫖽	几二彳皮
𫖾	人一月二
𫖿	几二⺷大
𫗀	几二氵母
𫗁	几二艮辶
𫗂	几二艮辶
𫗃	几二人心
𫗄	几二人心
𫗅	自田丌風
𫗆	風丰丰心
𫗈	几乂十子
𫗉	几乂𡗗𰀁
𫗊	几乂立日
𫗋	几乂王丿
𫗕	食十冂𢆉
𫗘	食𠂉口皿
𫗚	氵车斤食
𫗛	食宀丰刂
𫗯	饣亻ユ矢
