㑇	亻 负字头 彐
邨	1 屯无横 阝
邩	火 阝
邪	牙 阝
邫	寿字头 口 巴
邬	乌 阝
邭	句 阝
邮	由 阝
邯	甘 阝
邰	厶 口 阝
邱	丘无横 1 阝
邲	心 3 阝
邳	不 1 阝
邴	1 冂 人 阝
邵	刀 口 阝
邶	北字旁 比字旁 阝
邷	瓦 阝
邸	氏 4 阝
邹	负字头 彐 阝
邺	业 阝
邻	今 4 阝
邼	匚 王 阝
邽	土 土 阝
邾	3 未 阝
邿	土 寸 阝
郀	大 二 5 阝
郁	左字框 青字底 阝
郂	亥 阝
郃	亼 口 阝
郄	乂 左字框 厶 阝
郅	至 阝
郆	士 口 阝
郇	勹 日 阝
郈	反字框 1 口 阝
郉	1 左字框 干 阝
郊	六 乂 阝
郋	自 阝
郌	土 土 口 巴
郍	舟 阝
郎	4 即字旁 阝
郏	夫 丷 阝
郐	全字头 云 阝
郑	䒑 大 阝
郒	4 即字旁 口 巴
郓	冖 车旁 阝
郔	3 延字心无撇 廴 阝
郕	戊 5 阝
郖	同字心 䒑 阝
郗	乂 左字框 巾 阝
郘	口 口 阝
郙	甫 阝
郚	五 口 阝
郛	爫 子 阝
郜	告字头 口 阝
郝	土 亦字底 阝
郞	4 艮 阝
郟	大 人 人 阝
郠	1 日 乂 阝
郡	聿三 3 口 阝
郢	口 王 阝
郣	十 冖 子 阝
郤	谷 阝
郥	目 八 阝
郦	1 丽下角 丽下角 阝
郧	口 贝 阝
部	立 口 阝
郩	乂 左字框 青字底 阝
郪	1 妻字头无横 女 阝
郫	白 3 十 阝
郬	龶 青字底 阝
郭	享字头 子 阝
郮	周字框 土 口 阝
郯	火 火 阝
郰	耳 又 阝
郱	䒑 廾 阝
郲	木框 人 人 阝
郳	臼 儿 阝
郴	木 木 阝
郵	垂 阝
郶	立 口 口 巴
郷	乡 即字旁 阝
郸	丷 日 十 阝
郹	目 犬 阝
郺	夕 夕 巛 口 巴
郻	目 5 巛 阝
郼	候右角 2 口 㐄 阝
都	者 阝
郾	匚 日 女 阝
郿	眉字框 目 阝
鄀	艹 左字框 口 阝
鄁	北字旁 匕 青字底 阝
鄂	口 口 二 5 阝
鄃	亼 青字底 刂 阝
鄄	覀 土 阝
鄅	3 口 禺下 阝
鄆	冖 1 日 十 阝
鄇	亻 候右角 矢 阝
鄈	癶 1 大 阝
鄉	乡 4 即字旁 阝
鄊	乡 耳 阝
鄋	臼 2 又 阝
鄌	广 肀 口 阝
鄍	冖 日 六 阝
鄎	自 心 阝
鄏	辰 寸 阝
鄐	亠 幺 田 阝
鄑	1 业 日 阝
鄒	勹 䶹 勹 䶹 阝
鄓	自 犬 阝
鄔	3 见二 二 5 灬 阝
鄕	乡 白 匕 阝
鄖	口 目 八 阝
鄗	高 阝
鄘	广 肀 青字底 阝
鄙	口 十 囗 口 阝
鄚	艹 日 大 阝
鄛	巛 日 木 阝
鄜	鹿旁 阝
鄝	羽 全字头 彡 阝
鄞	廿 口 龶 阝
鄟	1 日 虫无口 寸 阝
鄠	雨头 二 5 阝
鄡	3 见二 三 5 木 阝
鄢	1 止 与无横 灬 阝
鄣	立 早 阝
鄤	日 罒 又 阝
鄥	3 见二 三 5 灬 阝
鄦	舞字头 灬 阝
鄧	癶 同字心 䒑 阝
鄨	㡀 攵 口 巴
鄩	彐 工 口 寸 阝
鄪	弗 目 八 阝
鄫	丷 曾字头无丷 日 阝
鄬	爫 3 5 5 5 灬 阝
鄭	丷 酉 大 阝
鄮	留字头 目 八 阝
鄯	羊 䒑 口 阝
鄰	米 夕 㐄 阝
鄱	3 米 田 阝
鄲	口 口 日 十 阝
鄳	临字旁 叚右角 1 5 三 2 彐 阝
鄴	业 䒑 未 阝
鄵	口 口 口 木 阝
鄶	亼 曾字头无丷 日 阝
鄷	曲 同字心 䒑 阝
鄸	艹 罒 冖 夕 阝
鄹	耳 又 乑 阝
鄺	广 龷 由 八 阝
鄻	夫 夫 1 日 十 阝
鄼	夫 夫 目 八 阝
鄽	广 里 八 土 阝
鄾	1 3 见二 二 冖 心 夂 阝
鄿	艹 口 口 日 十 阝
酀	廿 口 北字旁 匕 灬 阝
酁	负字头 口 比字旁 匕 兔 阝
酂	告字头 儿 告字头 儿 贝 阝
酃	雨头 口 口 口 阝
酄	艹 口 口 隹 阝
酅	山 隹 冂 八 口 阝
酆	山 丰 丰 同字心 䒑 阝
酇	告字头 儿 告字头 儿 目 八 阝
酈	1 丽下角 1 丽下角 鹿 阝
酉	酉
酊	酉 丁
酋	丷 酉
酌	酉 勹 4
配	酉 己
酎	酉 寸
酏	酉 也
酐	酉 干
酑	酉 1 于无横
酒	氵 酉
酓	今 酉
酔	酉 九 十
酕	酉 毛
酖	酉 冖 儿
酗	酉 乂 凵
酘	酉 殳
酙	酉 冬字底 十
酚	酉 八 刀
酛	酉 二 儿
酜	酉 夫
酝	酉 云
酞	酉 大 4
酟	酉 卢字头 口
酠	酉 可
酡	酉 宀 匕
酢	酉 乍
酣	酉 甘
酤	酉 古
酥	酉 禾
酦	酉 发无又 又
酧	酉 宀 寸
酨	十 戈 酉
酩	酉 夕 口
酪	酉 各
酫	酉 全字头 王
酬	酉 横三点 川
酭	酉 左字框 青字底
酮	酉 冂 同字心
酯	酉 匕 日
酰	酉 告字头 儿
酱	丬 夕 酉
酲	酉 口 王
酳	酉 幺 青字底
酴	酉 全字头 余字底
酵	酉 耂 子
酶	酉 卧人 母
酷	酉 告字头 口
酸	酉 厶 傻下角
酹	酉 爫 寸
酺	酉 甫
酻	酉 爫 子
酼	酉 充字头 荒字底
酽	酉 1 业 3
酾	酉 1 丽下角 丽下角
酿	酉 4 艮
醀	酉 隹
醁	酉 录字头 氺
醂	酉 木 木
醃	酉 大 日 5
醄	酉 勹 缶
醅	酉 立 口
醆	酉 戈 戈
醇	酉 享字头 子
醈	酉 火 火
醉	酉 亠 人 人 十
醊	酉 又 又 又 又
醋	酉 龷 日
醌	酉 日 比字旁 匕
醍	酉 日 定字底
醎	酉 戊 同字心
醏	酉 者
醐	酉 古 月
醑	酉 疋 青字底
醒	酉 日 生
醓	酉 冖 儿 皿
醔	禾 火 酉
醕	酉 享字头 日
醖	酉 日 皿
醗	酉 癶 二 儿
醘	酉 土 厶 皿
醙	酉 臼 2 又
醚	酉 米 辶
醛	酉 艹 全字头 王
醜	酉 鬼
醝	酉 差字头 工
醞	酉 囗 人 皿
醟	火 火 冖 酉
醠	酉 见二 大 皿
醡	酉 穴 乍
醢	酉 左字框 口 皿
醣	酉 广 肀 口
醤	丬 爫 寸 酉
醥	酉 覀 示
醦	酉 厶 厶 厶 全字头 彡
醧	酉 匚 口 口 口
醨	酉 亠 乂 凵 禸
醩	酉 1 曲 日
醪	酉 羽 全字头 彡
醫	匚 矢 殳 酉
醬	爿 然左角 寸 酉
醭	酉 业 养字头
醮	酉 隹 灬
醯	酉 充字头 荒字底 皿
醰	酉 覀 早
醱	酉 癶 弓 殳
醲	酉 曲 辰
醳	酉 罒 土 南字心
醴	酉 曲 同字心 䒑
醵	酉 虍 豕
醶	酉 亼 口 口 人 人
醷	酉 音 心
醸	酉 六 1 龷 衣省
醹	酉 雨头 而
醺	酉 千 黑
醻	酉 士 5 工 1 口 寸
醼	酉 廿 口 北字旁 匕 灬
醽	酉 雨头 口 口 口
醾	酉 麻 米
醿	酉 麻 糸
釀	酉 亠 口 口 1 龷 衣省
釁	臼裂 冂 同字心 冖 酉 八 刀
釂	酉 爫 罒 即字旁 寸
釃	酉 1 丽下角 1 丽下角 鹿
釄	酉 麻 非
釅	酉 口 口 厂 5 耳 攵
釆	3 米
采	爫 木
釈	3 米 尸 4
釉	3 米 由
释	3 米 又 举字底
釋	3 米 罒 土 南字心
里	里
重	千 里
野	里 予
量	日 1 里
釐	未 攵 厂 里
金	金
釒	金
釓	金 5
釔	金 6
釕	金 了
釖	金 刀
釗	金 刂
釘	金 丁
釙	金 卜
釚	金 九
釛	金 力
釜	八 乂 干 䒑
針	金 十
釞	金 入
釟	金 八
釠	金 几
釡	八 金
釢	金 乃
釣	金 勹 4
釤	金 彡
釥	金 小
釦	金 口
釧	金 川
釨	金 子
釩	金 几 4
釪	金 1 于无横
釫	金 二 5
釬	金 干
釭	金 工
釮	金 于无横 3
釯	金 亡
釰	金 刀 4
釱	金 大
釲	金 巳
釳	金 卧人 6
釴	金 弋
釵	金 又 4
釶	金 也
釷	金 土
釸	金 夕
釹	金 女
釺	金 千
釻	金 丸
釼	金 刀 4
釽	金 爪
釾	金 牙
釿	金 斤
鈀	金 巴
鈁	金 方
鈂	金 冖 儿
鈃	金 1 廾
鈄	金 冬字底 十
鈅	金 月
鈆	金 八 厶
鈇	金 夫
鈈	金 不
鈉	金 冂 人
鈊	金 心
鈋	金 亻 化字边
鈌	金 候右角 人
鈍	金 1 屯无横
鈎	金 勹 厶
鈏	金 弓 2
鈐	金 今
鈑	金 反字框 又
鈒	金 及
鈓	金 壬
鈔	金 少三 3
鈕	金 5 里无日
鈖	金 八 刀
鈗	金 厶 儿
鈘	金 支
鈙	金 卢字头 又
鈚	金 比字旁 匕
鈛	金 戈
鈜	金 左字框 厶
鈝	金 牛
鈞	金 勹 冫
鈟	金 弓 2
鈠	金 殳
鈡	金 口 2
鈢	金 木
鈣	金 1 卢字头 5
鈤	金 日
鈥	金 火
鈦	金 大 4
鈧	金 亠 几
鈨	金 二 儿
鈩	金 户
鈪	金 厂 㔾
鈫	金 文
鈬	金 尸 4
鈭	止 匕 金
鈮	金 尸 匕
鈯	金 屮 凵
鈰	金 亠 巾
鈱	金 民
鈲	金 瓜
鈳	金 可
鈴	金 今 4
鈵	金 1 冂 人
鈶	金 厶 口
鈷	金 古
鈸	金 左字框 又 4
鈹	金 皮
鈺	金 斜玉 4
鈻	金 㠯
鈼	金 乍
鈽	金 左字框 巾
鈾	金 由
鈿	金 田
鉀	金 甲
鉁	金 全字头 彡
鉂	金 口 乂
鉃	金 矢
鉄	金 3 夫
鉅	金 匚 叚右角
鉆	金 卢字头 口
鉇	金 卧人 也
鉈	金 宀 匕
鉉	金 亠 幺
鉊	金 刀 口
鉋	金 勹 巳
鉌	金 禾
鉍	金 心 3
鉎	金 生
鉏	金 且
鉐	金 石
鉑	金 白
鉒	金 4 斜玉
鉓	金 卧人 巾
鉔	金 匚 巾
鉕	金 匚 口
鉖	金 夂 冬字底
鉗	金 甘
鉘	金 弗
鉙	金 口 八
鉚	金 卯
鉛	金 几 口
鉜	金 亻 寸
鉝	金 立
鉞	金 戉
鉟	金 不 1
鉠	金 见二 大
鉡	金 丷 举字底
鉢	金 木 1
鉣	金 土 厶
鉤	金 句
鉥	金 木 4
鉦	金 1 止
鉧	金 母
鉨	金 负字头 小
鉩	金 全字头 小
鉪	金 廿 5
鉫	金 力 口
鉬	金 目
鉭	金 日 1
鉮	金 日 2
鉯	金 以字旁 人
鉰	金 5 同字心
鉱	金 广 厶
鉲	金 卢字头 1 卜
鉳	金 北字旁 匕
鉴	临字旁 临右角 金
鉵	金 虫
鉶	金 1 廾 刂
鉷	金 共
鉸	金 六 乂
鉹	金 夕 夕
鉺	金 耳
鉻	金 各
鉼	金 䒑 廾
鉽	金 弋 工
鉾	金 厶 牛
鉿	金 亼 口
銀	金 艮
銁	金 勹 日
銂	金 横三点 川
銃	金 充字头 儿
銄	金 3 冂 口
銅	金 冂 同字心
銆	金 1 白
銇	金 耒
銈	金 土 土
銉	金 聿
銊	金 戊 1
銋	金 亻 壬
銌	金 左字框 2 子
銍	金 至
銎	工 几 4 金
銏	金 册
銐	歹 刂 金
銑	金 告字头 儿
銒	金 1 左字框 干
銓	金 全字头 王
銔	金 不 十
銕	金 大框 弓
銖	金 3 未
銗	金 反字框 1 口
銘	金 夕 口
銙	金 大 二 5
銚	金 儿 率字腰
銛	金 舌
銜	彳 金 亍
銝	金 亻 木
銞	勹 日 金
銟	金 山 巾
銠	金 老
銡	金 士 口
銢	金 二 水
銣	金 女 口
銤	金 米
銥	金 衣
銦	金 囗 大
銧	金 光
銨	金 宀 女
銩	金 壬 厶
銪	金 左字框 青字底
銫	金 负字头 巴
銬	金 耂 1 5
銭	金 二 戈
銮	亠 变字头无亠 金
銯	金 糸
銰	金 艹 乂
銱	金 口 巾
銲	金 日 干
銳	金 八 口 儿
銴	扌 斤 金
銵	金 身
銶	金 于无横 率字腰 4
銷	金 尚字头 青字底
銸	金 耳 5
銹	金 禾 乃
銺	爿 士 金
銻	金 丷 弟省
銼	金 人 人 土
銽	金 氏 口
銾	金 工 水
銿	金 龴 甬字底
鋀	金 同字心 䒑
鋁	金 口 口
鋂	金 卧人 母
鋃	金 4 艮
鋄	金 1 火 又
鋅	金 辛
鋆	土 勹 冫 金
鋇	金 目 八
鋈	氵 3 大 金
鋉	金 束
鋊	金 谷
鋋	金 3 延字心无撇 廴
鋌	金 壬 廴
鋍	金 十 冖 子
鋎	金 宀 二 儿
鋏	金 大 人 人
鋐	金 宀 左字框 厶
鋑	金 厶 傻下角
鋒	金 夂 丰
鋓	金 禾 刂
鋔	金 负字头 口 儿
鋕	金 士 心
鋖	金 爫 女
鋗	金 口 青字底
鋘	金 口 1 大
鋙	金 五 口
鋚	亻 2 攵 金
鋛	金 口 口 2
鋜	金 足
鋝	金 爫 寸
鋞	金 1 巛 工
鋟	金 彐 冖 又
鋠	金 辰
鋡	金 今 口
鋢	金 爫 子
鋣	金 牙 阝
鋤	金 且 力
鋥	金 口 王
鋦	金 尸 5 口
鋧	金 目 儿
鋨	金 3 扌 戈
鋩	金 艹 亡
鋪	金 甫
鋫	禾 刂 金
鋬	扌 反字框 又 金
鋭	金 丷 口 儿
鋮	金 戊 5
鋯	金 告字头 口
鋰	金 里
鋱	金 弋 心
鋲	金 丘无横 1 八
鋳	金 寿字头 寸
鋴	金 古 儿
鋵	金 禾 几
鋶	金 充字头 荒字底
鋷	金 耳 又
鋸	金 尸 古
鋹	金 1 2 三 畏字底
鋺	金 宀 夕 㔾
鋻	臣 又 金
鋼	金 冂 䒑 山
鋽	金 卢字头 早
鋾	金 勹 缶
鋿	金 尚
錀	金 亼 扁字心
錁	金 日 木
錂	金 土 傻下角
錃	氵 皮 金
錄	金 彑 氺
錅	禾 黎右角 金
錆	金 龶 青字底
錇	金 立 口
錈	金 龹 㔾
錉	金 氏 日
錊	金 亠 人 人 十
錋	金 月 月
錌	金 山 厂 干
錍	金 白 3 十
錎	金 负字头 臼
錏	金 1 2 1 5 5 1 2 1
錐	金 隹
錑	金 户 犬
錒	金 阝 可
錓	金 差字头 5
錔	金 水 日
錕	金 日 比字旁 匕
錖	卢字头 1 小 又 金
錗	金 禾 女
錘	金 垂
錙	金 巛 田
錚	金 负字头 争字底
錛	金 大 十 廾
錜	金 今 心
錝	金 宀 示
錞	金 享字头 子
錟	金 火 火
錠	金 宀 定字底
錡	金 大 可
錢	金 戈 戈
錣	金 又 又 又 又
錤	金 其
錥	金 充字头 青字底
錦	金 白 巾
錧	金 宀 㠯
錨	金 艹 田
錩	金 日 日
錪	金 见二 龷 八
錫	金 日 勿
錬	金 木框 日
錭	金 周字框 土 口
錮	金 囗 古
錯	金 龷 日
錰	金 木 灬
錱	金 王 王
録	金 录字头 氺
錳	金 子 皿
錴	金 土 八 土
錵	金 艹 亻 化字边
錶	金 龶 衣省
錷	金 1 日 十 5
錸	金 木框 人 人
錹	金 止 青字底
錺	金 艹 方
錻	金 1 弋 止
錼	金 大 示
錽	金 1 火 夂
錾	车旁 斤 金
錿	金 虎
鍀	金 日 1 寸
鍁	金 斤 欠
鍂	金 金
鍃	金 勿 心
鍄	金 享字头 小
鍅	金 氵 土 厶
鍆	金 见二 二 冂 二
鍇	金 比字旁 匕 白
鍈	金 艹 见二 大
鍉	金 日 定字底
鍊	金 束 丷
鍋	金 见二 5 冂 口
鍌	氵 告字头 儿 金
鍍	金 广 廿 又
鍎	金 反字框 十 目
鍏	金 候右角 2 口 㐄
鍐	金 乂 凵 八 夂
鍑	金 卧人 日 夂
鍒	金 予 3 木
鍓	金 口 耳
鍔	金 口 口 二 5
鍕	金 冖 1 日 十
鍖	金 其 5
鍗	金 立无横 冖 巾
鍘	金 目 八 刂
鍙	氵 共 金
鍚	金 日 1 勿
鍛	金 段字旁 殳
鍜	金 叚字旁无二 二 叚右角 又
鍝	金 日 禺下
鍞	金 卢字头 目 八
鍟	金 日 生
鍠	金 白 王
鍡	金 田 1 畏字底
鍢	金 同字心 田
鍣	金 艹 刀 口
鍤	金 千 臼
鍥	金 丰 刀 大
鍦	金 方 卧人 也
鍧	金 勹 言
鍨	金 癶 1 大
鍩	金 艹 左字框 口
鍪	予 3 攵 金
鍫	禾 火 金
鍬	金 禾 火
鍭	金 亻 候右角 矢
鍮	金 亼 青字底 刂
鍯	金 勿 4 心
鍰	金 爫 1 左字框 又
鍱	金 廿 5 木
鍲	金 民 日
鍳	臣 临右角 金
鍴	金 山 而
鍵	金 聿 廴
鍶	金 田 心
鍷	金 大 土 土
鍸	金 古 月
鍹	金 宀 1 日 1
鍺	金 者
鍻	金 日 勹 亾
鍼	金 戊 同字心
鍽	金 户 扁字心
鍾	金 千 里
鍿	金 1 巛 田
鎀	金 亻 2 夂 彡
鎁	金 耳 阝
鎂	金 美字头 大
鎃	金 氵 反字框 旅下角
鎄	金 享字头 衣省
鎅	金 田 全字头 乔字底
鎆	金 䒑 青字底 刂
鎇	金 眉字框 目
鎈	金 差字头 工
鎉	金 日 羽
鎊	金 立无横 冖 方
鎋	金 宀 丰 口
鎌	金 兼
鎍	金 十 冖 糸
鎎	金 气 米
鎏	氵 充字头 荒字底 金
鎐	金 爫 缶
鎑	金 土 厶 皿
鎒	金 辰 寸
鎓	金 八 厶 羽
鎔	金 宀 谷
鎕	金 广 肀 口
鎖	金 尚字头 目 八
鎗	金 全字头 4 尸 1 口
鎘	金 鬲
鎙	金 䒑 䶹 月
鎚	金 3 㠯 辶
鎛	金 甫 寸
鎜	舟 殳 金
鎝	金 艹 亼 口
鎞	金 囱字框 乂 比字旁 匕
鎟	金 又 又 又 木
鎠	金 罒 1 止
鎡	金 䒑 幺 幺
鎢	金 3 见二 二 5 灬
鎣	火 火 冖 金
鎤	金 日 光
鎥	亻 2 夂 朩 金
鎦	金 留字头 田
鎧	金 山 同字心 䒑
鎨	金 隹 十
鎩	金 乂 朩 殳
鎪	金 臼 2 又
鎫	金 3 冂 乂 傻下角
鎬	金 高
鎭	金 匕 目 5 八
鎮	金 十 具字头 八
鎯	金 4 即字旁 阝
鎰	金 益字头 皿
鎱	金 土 口 衣省
鎲	金 尚头 儿
鎳	金 自 木
鎴	金 自 心
鎵	金 宀 豕
鎶	金 可 可
鎷	金 1 2 举字底 5 灬
鎸	金 隹 乃
鎹	金 䒑 大 辶
鎺	金 礻 且
鎻	金 巛 目 八
鎼	金 虍 手
鎽	金 山 夂 丰
鎾	金 日 皿
鎿	金 亼 口 手
鏀	金 卢字头 囗 乂 4 横两点 4
鏁	金 巛 日 木
鏂	金 匚 口 口 口
鏃	金 方 卧人 矢
鏄	金 1 日 虫无口 寸
鏅	金 亻 2 夂 青字底
鏆	金 贯字头 目 八
鏇	金 方 卧人 疋
鏈	金 1 日 十 辶
鏉	金 束 欠
鏊	龶 万无横 攵 金
鏋	金 廿 巾 入 入
鏌	金 艹 日 大
鏍	金 田 糸
鏎	金 日 龷 十
鏏	金 丰 丰 彐
鏐	金 羽 全字头 彡
鏑	金 立无横 冂 古
鏒	金 厶 厶 厶 全字头 彡
鏓	金 囱字框 夂 心
鏔	金 宀 1 由 八
鏕	金 鹿
鏖	鹿 金
鏗	金 臣 又 土
鏘	金 爿 然左角 寸
鏙	金 山 隹
鏚	金 戊 卢字头 1 小
鏛	金 尚头 巾
鏜	金 尚头 土
鏝	金 日 罒 又
鏞	金 广 肀 青字底
鏟	金 立无横 厂 生
鏠	金 夂 丰 辶
鏡	金 音 儿
鏢	金 覀 示
鏣	金 广 廿 灬
鏤	金 口 十 口 女
鏥	金 宀 亻 1 白
鏦	金 彳 人 人 龰
鏧	士 眉字框 殳 金
鏨	1 日 十 斤 金
鏩	金 1 日 十 斤
鏪	金 1 曲 日
鏫	金 禾 刂 木
鏬	金 虍 3 丷 于无横
鏭	金 3 米 心
鏮	金 广 隶字框 率字腰
鏯	金 大框 乂 乂 乂 乂
鏰	金 山 月 月
鏱	金 立 早
鏲	金 亠 幺 冖 牛
鏳	金 丷 曾字头无丷 日
鏴	金 足旁 各
鏵	金 艹 1 贲字腰 举字底
鏶	金 隹 木
鏷	金 业 养字头
鏸	金 1 日 虫无口 心
鏹	金 弓 口 虫
鏺	金 癶 弓 殳
鏻	金 米 夕 㐄
鏼	金 竹头 木框 冂
鏽	金 肀 乔字底 2 1 5 1 5 1 2
鏾	金 龷 青字底 攵
鏿	金 尚头 木
鐀	金 贵字头 目 八
鐁	金 其 斤
鐂	金 1 临字旁 匚 叚右角 田
鐃	金 土 土 土 1 儿
鐄	金 龷 由 八
鐅	㡀 攵 金
鐆	阝 䒑 豕省 金
鐇	金 3 米 田
鐈	金 3 大 口 冂 口
鐉	金 巳 巳 共
鐊	金 阝 日 1 勿
鐋	金 氵 日 1 勿
鐌	金 象
鐍	金 予 3 冂 八 口
鐎	金 隹 灬
鐏	金 丷 酉 寸
鐐	金 大变 丷 日 小
鐑	金 幺 横三点 士 口
鐒	金 火 火 冖 力
鐓	金 享字头 子 攵
鐔	金 覀 早
鐕	金 旡 旡 日
鐖	金 幺 幺 戈 人
鐗	金 见二 二 冂 二 月
鐘	金 立 里
鐙	金 癶 同字心 䒑
鐚	金 1 2 1 5 5 1 2 1 心
鐛	金 日 享字头 小
鐜	享字头 子 攵 金
鐝	金 厂 䒑 䶹 欠
鐞	金 彐 工 口 寸
鐟	金 夫 夫 日
鐠	金 䒑 业 日
鐡	金 十 戈 口 䒑
鐢	木 乂 乂 木 金
鐣	金 尚头 手
鐤	金 目 鼎左角 鼎右角
鐥	金 羊 䒑 口
鐦	金 见二 二 冂 二 1 廾
鐧	金 见二 二 冂 二 日
鐨	金 弗 目 八
鐩	金 䒑 豕省 辶
鐪	金 虍 田 力
鐫	金 隹 凹无横
鐬	金 止 戊 1 步字底
鐭	金 3 冂 米 大
鐮	金 广 兼
鐯	金 艹 者
鐰	金 口 口 口 木
鐱	金 亼 口 口 人 人
鐲	金 罒 勹 虫
鐳	金 雨头 田
鐴	金 尸 口 辛
鐵	金 十 戈 口 王
鐶	金 罒 同字心 衣省
鐷	金 艹 廿 5 木
鐸	金 罒 土 南字心
鐹	金 见二 5 冂 口 辶
鐺	金 尚头 田
鐻	金 虍 豕
鐼	金 十 贲字腰 目 八
鐽	金 土 羊 辶
鐾	尸 口 辛 金
鐿	金 音 心
鑀	金 爫 冖 心 夂
鑁	金 乂 4 横两点 4 凵 傻下角
鑂	金 千 黑
鑃	金 羽 隹
鑄	金 士 5 工 1 口 寸
鑅	金 火 火 冖 木
鑆	金 业 美字头 寸
鑇	金 亠 丷 2 刀 卬字旁 4 乔字底 二
鑈	金 1 八 巾 乂 乂 乂 乂
鑉	金 艹 土 厶 皿
鑊	金 艹 隹 又
鑋	1 日 十 1 巛 工 金
鑌	金 宀 1 步字底 目 八
鑍	目 八 目 八 金
鑎	金 匚 贵字头 目 八
鑏	金 宀 心 皿 丁
鑐	金 雨头 而
鑑	金 臣 临右角 皿
鑒	臣 临右角 罒 金
鑓	金 贵字头 㠯 辶
鑔	金 宀 祭字头 示
鑕	金 斤 斤 目 八
鑖	金 艹 罒 戊 4
鑗	金 禾 黎右角 全字头 氺
鑘	金 田 田 田
鑙	金 禾 尤 匕 日
鑚	金 夫 夫 目 八
鑛	金 广 龷 由 八
鑜	金 尚头 目 八
鑝	金 艹 夂 丰 辶
鑞	金 巛 囗 乂 5 冬字底 5 冬字底 5
鑟	金 士 罒 目 八
鑠	金 白 幺 幺 木
鑡	金 止 人 人 1 人 人 凵
鑢	金 虍 田 心
鑣	金 鹿 灬
鑤	金 日 共 氺
鑥	金 负字头 田 灬 日
鑦	金 臣 又 目 八
鑧	金 宀 艹 目 儿 4
鑨	金 立 青字底 1 5 1 5 三
鑩	金 噩字框 口 口 口 口
鑪	金 虍 田 皿
鑫	金 金 金
鑬	金 臣 临右角 目 儿
鑭	金 见二 二 冂 二 束 丷
鑮	金 艹 氵 甫 寸
鑯	金 人 人 戈 非 1
鑰	金 亼 口 口 口 扁字心
鑱	金 负字头 口 比字旁 匕 兔
鑲	金 亠 口 口 1 龷 衣省
鑳	金 宀 寒字腰带八 足
鑴	金 山 隹 冂 八 口
鑵	金 艹 口 口 隹
鑶	金 艹 臧字框 臣
鑷	金 耳 耳 耳
鑸	金 田 田 田 土
鑹	金 穴 鼠
鑺	金 目 目 隹
鑻	金 木 乂 乂 木 大 手
鑼	金 罒 幺 横三点 隹
鑽	金 告字头 儿 告字头 儿 目 八
鑾	言 幺 横三点 幺 横三点 金
鑿	业 南字心 臼 殳 金
钀	金 虍 鬲 犬
钁	金 目 目 隹 又
钂	金 尚头 黑
钃	金 尸 氺 罒 勹 虫
钄	金 艹 见二 二 冂 二 束 丷
钅	钅
钆	钅 5
钇	钅 6
针	钅 十
钉	钅 丁
钊	钅 刂
钋	钅 卜
钌	钅 了
钍	钅 土
钎	钅 千
钏	钅 川
钐	钅 彡
钑	钅 及
钒	钅 几 4
钓	钅 勹 4
钔	钅 门
钕	钅 女
钖	钅 5 横两撇
钗	钅 又 4
钘	钅 1 廾
钙	钅 1 卢字头 5
钚	钅 不
钛	钅 大 4
钜	钅 匚 叚右角
钝	钅 1 屯无横
钞	钅 少三 3
钟	钅 口 2
钠	钅 冂 人
钡	钅 贝
钢	钅 冂 乂
钣	钅 反字框 又
钤	钅 今
钥	钅 月
钦	钅 欠
钧	钅 勹 冫
钨	钅 乌
钩	钅 勹 厶
钪	钅 亠 几
钫	钅 方
钬	钅 火
钭	钅 冬字底 十
钮	钅 5 里无日
钯	钅 巴
钰	钅 斜玉 4
钱	钅 1 戈
钲	钅 1 止
钳	钅 甘
钴	钅 古
钵	钅 木 1
钶	钅 可
钷	钅 匚 口
钸	钅 左字框 巾
钹	钅 左字框 又 4
钺	钅 戉
钻	钅 卢字头 口
钼	钅 目
钽	钅 日 1
钾	钅 甲
钿	钅 田
铀	钅 由
铁	钅 3 夫
铂	钅 白
铃	钅 今 4
铄	钅 乐二 小
铅	钅 几 口
铆	钅 卯
铇	钅 勹 巳
铈	钅 亠 巾
铉	钅 亠 幺
铊	钅 宀 匕
铋	钅 心 3
铌	钅 尸 匕
铍	钅 皮
铎	钅 又 举字底
铏	钅 1 廾 刂
铐	钅 耂 1 5
铑	钅 老
铒	钅 耳
铓	钅 艹 亡
铔	钅 1 业
铕	钅 左字框 青字底
铖	钅 戊 5
铗	钅 夫 丷
铘	钅 牙 阝
铙	钅 尧字头 1 儿
铚	钅 至
铛	钅 尚字头 彐
铜	钅 冂 同字心
铝	钅 口 口
铞	钅 口 巾
铟	钅 囗 大
铠	钅 山 己
铡	钅 贝 刂
铢	钅 3 未
铣	钅 告字头 儿
铤	钅 壬 廴
铥	钅 壬 厶
铦	钅 舌
铧	钅 亻 化字边 十
铨	钅 全字头 王
铩	钅 乂 朩
铪	钅 亼 口
铫	钅 儿 率字腰
铬	钅 各
铭	钅 夕 口
铮	钅 负字头 争字底
铯	钅 负字头 巴
铰	钅 六 乂
铱	钅 衣
铲	钅 立无横 厂
铳	钅 充字头 儿
铴	钅 氵 5 横两撇
铵	钅 宀 女
银	钅 艮
铷	钅 女 口
铸	钅 寿字头 寸
铹	钅 艹 冖 力
铺	钅 甫
铻	钅 五 口
铼	钅 未 丷
铽	钅 弋 心
链	钅 车 辶
铿	钅 临字旁 又 土
销	钅 尚字头 青字底
